BARCODE,PRODUCT CODE,MODEL NAME,PRODUCT NAME,BRAND NAME,MRP,NET QTY,CATEGORY,DISCOUNT,DIWALI SCHEME A,DIWALI SCHEME B,DIWALI SCHEME C,RETAIL,,Brand Name,LARAH,
8904121206421,NOT MENTIONED,Prisma medium,PRISMA TARY MEDIUM,JAYPEE PLUS ,520,0,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,,,
8904121210657,NOT MENTIONED,ultima steel containers,ultima round steel small 200 ,JAYPEE PLUS ,150,170,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,LARAHA DMS CODE,LARAH DMS NAME,Sum of Net Qty
8904121210244,NOT MENTIONED,ultima 3 plastic,ultima 3 pes,JAYPEE PLUS ,239,108,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,HT10CN1CTINO,CHAI NASTA - 10 PC (NOVELTY),106
8904121216482,NOT MENTIONED,queen festive set,queen festive set,JAYPEE PLUS ,2795,1,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,HT10SS1BORFL,SNACK SET - 10 PC ASSORTED,11
8904121210213,NOT MENTIONED,silo set of 4,silo set of 4,JAYPEE PLUS ,320,48,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,HT11FP1GREOR,"6 N FULL PLATE 11"" (ORBIT) ASSORTED",5
8904121212873,NOT MENTIONED,microsteel bowl 2 lt,microsteel bowl 2 lt,JAYPEE PLUS ,345,10,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,HT11FP1HUB1FL,6 N FULL PLATE 11'' (PRINTED) ASSORTED,6
8904121212323,NOT MENTIONED,elara vanity tray,elara vanity tray,JAYPEE PLUS ,1095,20,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,HT11FP1LOGEMFL,6N FULL PLATE 11'' LOGO (EMBOSSED),1360
8904121216772,NOT MENTIONED,squareline lunch box,squareline lunch box,JAYPEE PLUS ,1695,14,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,HT11FP1LOGMO,"Full Plate(11""MOON) Set - 6 ASSORTED",105
8904121216192,NOT MENTIONED,prolunch combo,prolunch combo,JAYPEE PLUS ,1950,20,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,HT12CS14AGE1,14CL Cup Saucer Set -12Pc ASSORTED,299
8904121214136,NOT MENTIONED,ribbline 4,ribbline 4,JAYPEE PLUS ,2045,1,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,HT12CS14AMO,14CL Cup Saucer Set -12Pc (PREMIA),9
8904297306024,NOT MENTIONED,spice up masala box,spice up,JAYPEE PLUS ,278,9,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,HT12MKB1CSCPL,Mult.Katori Set- 12Pc (PLANO) ASSORTED,40
8907516170994,NOT MENTIONED,1 N 39CL MUG FOREST,1 N 39CL MUG FOREST,LARAH,200,1,1 PC 39 CL MUG,46,5,3,2,36,,HT12MS16DRENO,16CL Novelty Mug Saucer Set -12Pc ASSORTED,10
8907516201889,NOT MENTIONED,LUNCH BOX,3N 400ML LUNCH BOX ZIVA SKY (B),LARAH,995,4,TIFFIN LARA 3 CONTAINER,55,5,3,2,45,,HT12MS16IVY,16CL Novelty Mug Saucer Set -12Pc (PREMIA),19
8907516200073,NOT MENTIONED,MUG & SAUCER,12N16CL MUG&SAUCER MACY,LARAH,895,6,CUP SAUCER 16 CL,46,5,3,2,36,,HT12SP1CBGTR,12N Soup Set (TIARA) ASSORTED,1
8907516139434,NOT MENTIONED,PLATTER SET,7N PLATTER SET MOON ,LARAH,1045,8,PLATTER SET 7 PC,50,5,3,2,40,,HT12SP1OCEFL,12N Soup Set  ASSORTED,41
8907516168441,HT7PTR1ASSMO,7PC PLATTER SET ,7N PLATTER SET  ASSORTED ,LARAH,1195,82,PLATTER SET 7 PC,50,5,3,2,40,,HT12STB1LUP4PL,STORAGE BOWL - 12 PC (PLANO) ASSORTED,2
8907516186261,NOT MENTIONED,MUG SET,6N 16CL MUG ANYA (CR),LARAH,495,1,COFFEE MUG 18 CL,46,5,3,2,36,,HT18SS22JSPMO,Snack Set - 18 Pc (MOON) ASSORTED,4
8907516184441,NOT MENTIONED,MUG SET,6N 24CL MUG SET SUNHARA,LARAH,675,0,24 CL MUG 6 PC,46,5,3,2,36,,HT1KNS1VEBPL,KLIP N STORE - 1 Pc (PLANO) ASSORTED,72
8907516215626,NOT MENTIONED,MUG SET,6N 18CL MUG JASPER,LARAH,495,32,COFFEE MUG 18 CL,46,5,3,2,36,,HT1MSB1LOGFL,Mini Serving Bowl- 1Pcs Logo,263
8907516067928,NOT MENTIONED,PUDDING SET,7N PD/SET (S) TULIPTC,LARAH,690,2,PUDDING SET MOON,0,350,355,365,,,HT1MUG32STE1,32CL Mug - 1 PC ASSORTED,346
8907516165273,NOT MENTIONED,DESSERT SET,9N DESSERT SET CONE BLACK GREYN ,LARAH,1350,0,DESSERT SET 9 PC LARA,50,5,3,2,40,,HT1MUG35KUB1,35CL Mug - 1 Pc ASSORTED,587
8904121210893,ROMEO 500,ROMEO,SMART STEEL INSULATED BOTTLE 500 ML,JAYPEE PLUS ,850,13,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,HT1MUG35LOG1,1 N 35CL MUG LOGO,72
8901309170277,bn430120036,6 n cascade glass large ,CUT GLASSES - CASCADE LARGE 350 ML,BOROSIL,755,49,VISION,40,0,0,0,30,,HT1MUG40LOGOR,1 N 39CL MUG LOGO (OR),77
8901309170307,bn430120030,6 n medallion glasses large,CUT GLASSES - MEDALLIONS LARGE 350 ML,BOROSIL,755,41,VISION,40,0,0,0,30,,HT1MUG40POB1,39CL Mug - 1 Pc ASSORTED,369
8901309170253,bn430120034,6 n galaxy glasses large ,CUT GLASSES - GALAXY LARGE 350 ML,BOROSIL,755,52,VISION,40,0,0,0,30,,HT1MUG40WB,2 N 39 CL MUG ASSORTED,139
8901309170130,bn430120033,6 n bracelet large glass,CUT GLASSES - BRACELET LARGE 350 ML,BOROSIL,755,16,VISION,40,0,0,0,30,,HT1MXB1LOG132,1 N 0.50 L MIX. BOWL LOGO,134
8901309227063,bvs6cre350t,6 n creeper glasses large,CUT GLASS CREEPER LARGE 350 ML S/6,BOROSIL,755,7,VISION,40,0,0,0,30,,HT1MXB1LOG150,1 N 0.75 L MIX. BOWL LOGO,47
8901309208031,NOT MENTIONED,6 n white krip glass large,6 n white krip glass large,BOROSIL,660,3,VISION,40,0,0,0,30,,HT1MXB1LOG170,1 N 1.00 L MIX. BOWL LOGO,110
8901309170147,bn430120023,6 n bracelet glasses medium,CUT GLASSES - BRACELET MEDIUM 295 ML,BOROSIL,660,7,VISION,40,0,0,0,30,,HT1MXB1LOG190,1 N 1.50 L MIX. BOWL LOGO,94
8904121214600,NOT MENTIONED,cocoa 300,cocoa 300 1u 300ml ,JAYPEE PLUS ,730,2,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,HT1MXB6ASS132,1 N 0.50 L MIX. BOWL ASSORTED,2
8904121212637,NOT MENTIONED,ULTIMA LOCKSAFE 900 ML ,ULTIMA LOCKSAFE 900 ML ,JAYPEE PLUS ,300,126,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,HT1MXB6ASS150,1 N 0.75 L MIX. BOWL ASSORTED,6
8904296602813,NOT MENTIONED,STEEL ON 500 ,STEEL ON 500 ,JAYPEE ,500,0,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,HT1MXB6ASS170,1 N 1.00 L MIX. BOWL ASSORTED,2
8904121210909,NOT MENTIONED,ROMEO 750,SMART STEEL INSULATED BOTTLE 770 ML 1 U,JAYPEE PLUS ,995,21,JAYPEE HOUSEHOLD,0,51.84,50.3,47.75,,,HT1MXB6ASS190,1 N 1.50 L MIX. BOWL ASSORTED,12
8907516003254,NOT MENTIONED,FLITED QUARTER PLATE,FLITED QUARTER PLATE 6N 19CM,LARAH,670,12,LOOSEWARE,50,0,0,0,40,,HT1RP01LOGFL,1 N RICE PLATE LOGO,14
